"mp_order_number","customer_order_number","replaced_mp_order_number","marketplace_name","marketplace_channel","customer_email","customer_full_name","customer_phone","customer_vat","purchase_date","currency","gift_message","delivery_notes","estimated_ship_date","estimated_delivery_date","shipping_full_name","shipping_address_type","shipping_address1","shipping_address2","shipping_address3","shipping_city","shipping_state","shipping_postal_code","shipping_country_code","shipping_phone","paypal_transaction_ids","is_amazon_prime","is_target_two_day","business_order","marketplace_fulfilled","mp_line_number","sku","product_name","quantity","unit_price","sales_tax","shipping_method","shipping_price","shipping_tax","discount_name","discount","shipping_discount_name","shipping_discount","amount_available_for_refund"
"TEST-1-1-line",,,"My Marketplace",,"customer_email_test1234@null.local","FIRSTNAME LASTNAME","4015555555",1234567,"2023-09-08T17:33:13+0000","USD","GIFT_MESSAGE","DELIVERY_NOTES","2023-09-08T17:33:13+0000","2023-09-08T17:33:13+0000","FIRSTNAME LASTNAME","Home","10 Cloverfield Lane","Suite 221","Box 3","Smallville","KS",90001,"US","123-456-7890",,,,,,1,"13579","PRODUCT_NAME 1",1,20,2.5,"SHIPPING_METHOD",7,1.25,"DISCOUNT_NAME",4,"SHIPPING_DISCOUNT_NAME",1,
"TEST-2-2-lines",,,"My Marketplace",,"customer_email_test1234@null.local","FIRSTNAME LASTNAME","4015555555",1234567,"2023-09-08T17:33:13+0000","USD","GIFT_MESSAGE","DELIVERY_NOTES","2023-09-08T17:33:13+0000","2023-09-08T17:33:13+0000","FIRSTNAME LASTNAME","Home","10 Cloverfield Lane","Suite 221","Box 3","Smallville","KS",90001,"US","123-456-7890",,,,,,1,"24680","PRODUCT_NAME 2",1,20,2.5,"SHIPPING_METHOD",7,1.25,"DISCOUNT_NAME",4,"SHIPPING_DISCOUNT_NAME",1,
"TEST-2-2-lines",,,"My Marketplace",,"customer_email_test1234@null.local","FIRSTNAME LASTNAME","4015555555",1234567,"2023-09-08T17:33:13+0000","USD","GIFT_MESSAGE","DELIVERY_NOTES","2023-09-08T17:33:13+0000","2023-09-08T17:33:13+0000","FIRSTNAME LASTNAME","Home","10 Cloverfield Lane","Suite 221","Box 3","Smallville","KS",90001,"US","123-456-7890",,,,,,2,"13579","PRODUCT_NAME 1",1,20,2.5,"SHIPPING_METHOD",7,1.25,"DISCOUNT_NAME",4,"SHIPPING_DISCOUNT_NAME",1,
"TEST-3-fail-validation-mp_line_num",,,"My Marketplace",,"customer_email_test1234@null.local","FIRSTNAME LASTNAME","4015555555",1234567,"2023-09-08T17:33:13+0000","USD","GIFT_MESSAGE","DELIVERY_NOTES","2023-09-08T17:33:13+0000","2023-09-08T17:33:13+0000","FIRSTNAME LASTNAME","Home","10 Cloverfield Lane","Suite 221","Box 3","Smallville","KS",90001,"US","123-456-7890",,,,,,,"M99153","PRODUCT_NAME 2",1,20,2.5,"SHIPPING_METHOD",7,1.25,"DISCOUNT_NAME",4,"SHIPPING_DISCOUNT_NAME",1,
"TEST-4-fail-validation-col-missing",,,"My Marketplace",,"customer_email_test1234@null.local","FIRSTNAME LASTNAME","4015555555",1234567,"2023-09-08T17:33:13+0000","USD","GIFT_MESSAGE","DELIVERY_NOTES","2023-09-08T17:33:13+0000","2023-09-08T17:33:13+0000","FIRSTNAME LASTNAME","Home","10 Cloverfield Lane","Suite 221","Box 3","Smallville","KS",90001,"US","123-456-7890",,,,,,,"M99153","PRODUCT_NAME 2",1,20,2.5,"SHIPPING_METHOD",7,1.25,"DISCOUNT_NAME",4,"SHIPPING_DISCOUNT_NAME",1
"TEST-5-fail-validation-col-extra",,,"My Marketplace",,"customer_email_test1234@null.local","FIRSTNAME LASTNAME","4015555555",1234567,"2023-09-08T17:33:13+0000","USD","GIFT_MESSAGE","DELIVERY_NOTES","2023-09-08T17:33:13+0000","2023-09-08T17:33:13+0000","FIRSTNAME LASTNAME","Home","10 Cloverfield Lane","Suite 221","Box 3","Smallville","KS",90001,"US","123-456-7890",,,,,,,"M99153","PRODUCT_NAME 2",1,20,2.5,"SHIPPING_METHOD",7,1.25,"DISCOUNT_NAME",4,"SHIPPING_DISCOUNT_NAME",1,"extra"
"TEST-6-2-lines-fail-validation-mp_line_number",,,"My Marketplace",,"customer_email_test1234@null.local","FIRSTNAME LASTNAME","4015555555",1234567,"2023-09-08T17:33:13+0000","USD","GIFT_MESSAGE","DELIVERY_NOTES","2023-09-08T17:33:13+0000","2023-09-08T17:33:13+0000","FIRSTNAME LASTNAME","Home","10 Cloverfield Lane","Suite 221","Box 3","Smallville","KS",90001,"US","123-456-7890",,,,,,,"M99152","PRODUCT_NAME 1",1,20,2.5,"SHIPPING_METHOD",7,1.25,"DISCOUNT_NAME",4,"SHIPPING_DISCOUNT_NAME",1,
"TEST-6-2-lines-fail-validation-mp_line_number",,,"My Marketplace",,"customer_email_test1234@null.local","FIRSTNAME LASTNAME","4015555555",1234567,"2023-09-08T17:33:13+0000","USD","GIFT_MESSAGE","DELIVERY_NOTES","2023-09-08T17:33:13+0000","2023-09-08T17:33:13+0000","FIRSTNAME LASTNAME","Home","10 Cloverfield Lane","Suite 221","Box 3","Smallville","KS",90001,"US","123-456-7890",,,,,,2,"M99153","PRODUCT_NAME 2",1,20,2.5,"SHIPPING_METHOD",7,1.25,"DISCOUNT_NAME",4,"SHIPPING_DISCOUNT_NAME",1,
"TEST-7-1-line-fail-bad-variant-id",,,"My Marketplace",,"customer_email_test1234@null.local","FIRSTNAME LASTNAME","4015555555",1234567,"2023-09-08T17:33:13+0000","USD","GIFT_MESSAGE","DELIVERY_NOTES","2023-09-08T17:33:13+0000","2023-09-08T17:33:13+0000","FIRSTNAME LASTNAME","Home","10 Cloverfield Lane","Suite 221","Box 3","Smallville","KS",90001,"US","123-456-7890",,,,,,1,"ABC13579","PRODUCT_NAME 1",1,20,2.5,"SHIPPING_METHOD",7,1.25,"DISCOUNT_NAME",4,"SHIPPING_DISCOUNT_NAME",1,
"TEST-8-2-lines-fail-bad-variant-id",,,"My Marketplace",,"customer_email_test1234@null.local","FIRSTNAME LASTNAME","4015555555",1234567,"2023-09-08T17:33:13+0000","USD","GIFT_MESSAGE","DELIVERY_NOTES","2023-09-08T17:33:13+0000","2023-09-08T17:33:13+0000","FIRSTNAME LASTNAME","Home","10 Cloverfield Lane","Suite 221","Box 3","Smallville","KS",90001,"US","123-456-7890",,,,,,1,"24680","PRODUCT_NAME 2",1,20,2.5,"SHIPPING_METHOD",7,1.25,"DISCOUNT_NAME",4,"SHIPPING_DISCOUNT_NAME",1,
